distrito,edad,email,id,nombre,partido,sexo,images
"{'5': 10, '3': 10, '4': 10, '2': 0}",65,avargas,912,Alfonso Vargas Lyng,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs912
"{'8': 48, '6': 48, '5': 48}",59,mvenegas,913,Mario Venegas Cárdenas,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs913
"{'5': 15, '3': 15, '4': 15, '2': 0}",79,svenegas,914,Samuel Venegas Rubio,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs914
"{'8': 37, '6': 37, '5': 37}",69,gverdugo,915,Germán Verdugo Soto,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs915
"{'5': 25, '6': 25, '4': 25}",62,xvidal,916,Ximena Vidal Lázaro,Partido Por la Democracia,F,https://www.camara.cl/img.aspx?prmid=chs916
"{'5': 54, '6': 54, '4': 54}",62,gvonmuhlenbrock,917,Gastón Von Mühlenbrock Zamora,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs917
"{'5': 8, '3': 8, '4': 8}",48,pwalker,918,Patricio Walker Prieto,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs918
"{'8': 3, '6': 3, '5': 3}",45,fw120,919,Felipe Ward Edwards,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs919
"{'8': 12, '6': 12, '5': 12}",68,schilling,920,Marcelo Schilling Rodríguez,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs920
"{'5': 38, '3': 26, '4': 26}",54,lperez,921,Lily Pérez San Martín,Renovación Nacional,F,https://www.camara.cl/img.aspx?prmid=chs921
"{'5': 22, '6': 22}",45,fharboe,922,Felipe Harboe Bascuñán,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs922
"{'8': 38, '6': 38}",41,palvarez-salamanca,923,Pedro Pablo Alvarez-Salamanca Ramírez,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs923
"{'8': 29, '6': 29}",64,oandrade,924,Osvaldo Andrade Lara,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs924
"{'8': 20, '6': 20}",60,pepeauth,925,Pepe Auth Stewart,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs925
{'6': 1},64,nbaltolu,926,Nino Baltolu Rasera,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs926
"{'8': 28, '6': 28}",45,pbrowne,927,Pedro Browne Urrejola,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs927
{'6': 6},46,gcalderon,928,Giovanni Calderón Bassi,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs928
"{'8': 43, '6': 43}",44,ccampos,929,Cristián Campos Jara,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs929
"{'8': 5, '6': 5}",65,lcarmona,930,Lautaro Carmona Soto,Partido Comunista,M,https://www.camara.cl/img.aspx?prmid=chs930
